name,level,cycle_size,branch_size,recursive_steps
synth-n_120-m_921-k_25-p_0.1.txt,8,4.0078964,2.1765974,1393
synth-n_120-m_921-k_25-p_0.1.txt,9,4.0352902,2.133905,3032
synth-n_120-m_921-k_25-p_0.1.txt,10,4.052705,2.0843894,6470
synth-n_120-m_921-k_25-p_0.1.txt,11,4.061397,2.0573928,13486
synth-n_120-m_921-k_25-p_0.1.txt,12,4.0554676,2.0396094,27746
synth-n_120-m_921-k_25-p_0.1.txt,13,4.0557685,2.0319486,56591
synth-n_120-m_921-k_25-p_0.1.txt,14,4.0629272,2.0219932,114990
synth-n_120-m_921-k_25-p_0.1.txt,15,4.057254,2.0140467,232509
synth-n_120-m_921-k_25-p_0.1.txt,16,4.0671515,2.013983,468284
synth-n_120-m_921-k_25-p_0.1.txt,17,4.080267,2.013276,943116
synth-n_120-m_935-k_30-p_0.1.txt,0,3.0,3.0,1
synth-n_120-m_935-k_30-p_0.1.txt,1,3.3333333,3.0,3
synth-n_120-m_935-k_30-p_0.1.txt,2,2.7777777,2.3333333,9
synth-n_120-m_935-k_30-p_0.1.txt,3,3.3809524,2.7619047,21
synth-n_120-m_935-k_30-p_0.1.txt,4,3.6551723,2.8275862,58
synth-n_120-m_935-k_30-p_0.1.txt,5,3.5609756,2.5853658,164
synth-n_120-m_935-k_30-p_0.1.txt,6,3.6816037,2.471698,424
synth-n_120-m_935-k_30-p_0.1.txt,7,3.821565,2.457061,1048
synth-n_120-m_935-k_30-p_0.1.txt,8,3.95534,2.3297088,2575
synth-n_120-m_935-k_30-p_0.1.txt,9,4.004501,2.2622104,5999
